Team,Player,Role,Nation
Punjab Kings,Vidwath Kaverappa,Bowler,India
Titans,Vijay Shankar,All-rounder,India
RCB,Virat Kohli,Batsman,India
Mumbai,Vishnu Vinod,WK-Batsman,India
Punjab Kings,Vishwanath Pratap Singh,All-rounder,India
RCB,Vyshak Vijay Kumar,Bowler,India
Sunrisers,Wanindu Hasaranga,Allrounder,Sri Lanka
Sunrisers,Washington Sundar,All-rounder,India
RCB,Will Jacks,Allrounder,England
Titans,Wriddhiman Saha ,WK-Batsman,India
RCB,Yash Dayal,Bowler,India
Capitals,Yash Dhull,Batsman,India
Super Giants,Yash Thakur,Bowler,India
Royals,Yashasvi Jaiswal,Batsman,India
Super Giants,Yudhvir Singh,All-rounder,India
Royals,Yuzvendra Chahal,Bowler,India
